invoice_no,stock_code,description,quantity,invoice_date,unit_price,customer_id,country,sales
536378,21212,PACK OF 72 RETROSPOT CAKE CASES,120,2010-12-01 09:37:00,0.42,14688,United Kingdom,50.4
536378,21559,STRAWBERRY LUNCH BOX WITH CUTLERY,6,2010-12-01 09:37:00,2.55,14688,United Kingdom,15.299999999999999
536378,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5
536378,21931,JUMBO STORAGE BAG SUKI,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5
536378,21975,PACK OF 60 DINOSAUR CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.200000000000001
536378,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.200000000000001
536378,22386,JUMBO BAG PINK POLKADOT,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5
536378,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 09:37:00,0.55,14688,United Kingdom,13.200000000000001
536378,85099C,JUMBO  BAG BAROQUE BLACK WHITE,10,2010-12-01 09:37:00,1.95,14688,United Kingdom,19.5
536380,22961,JAM MAKING SET PRINTED,24,2010-12-01 09:41:00,1.45,17809,United Kingdom,34.8
536381,15056N,EDWARDIAN PARASOL NATURAL,2,2010-12-01 09:41:00,5.95,15311,United Kingdom,11.9
536381,21166,COOK WITH WINE METAL SIGN ,1,2010-12-01 09:41:00,1.95,15311,United Kingdom,1.95
536381,21169,YOU'RE CONFUSING ME METAL SIGN ,3,2010-12-01 09:41:00,1.69,15311,United Kingdom,5.07
536381,21175,GIN + TONIC DIET METAL SIGN,2,2010-12-01 09:41:00,2.1,15311,United Kingdom,4.2
536381,21523,DOORMAT FANCY FONT HOME SWEET HOME,10,2010-12-01 09:41:00,6.75,15311,United Kingdom,67.5
536381,21731,RED TOADSTOOL LED NIGHT LIGHT,2,2010-12-01 09:41:00,1.65,15311,United Kingdom,3.3
536381,22083,PAPER CHAIN KIT RETROSPOT,1,2010-12-01 09:41:00,2.95,15311,United Kingdom,2.95
536381,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,4,2010-12-01 09:41:00,2.95,15311,United Kingdom,11.8
536381,22139,RETROSPOT TEA SET CERAMIC 11 PC ,23,2010-12-01 09:41:00,4.25,15311,United Kingdom,97.75
536381,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 09:41:00,1.95,15311,United Kingdom,19.5
536386,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 09:57:00,1.65,16029,United Kingdom,165.0
536386,85099C,JUMBO  BAG BAROQUE BLACK WHITE,100,2010-12-01 09:57:00,1.65,16029,United Kingdom,165.0
536387,21731,RED TOADSTOOL LED NIGHT LIGHT,432,2010-12-01 09:58:00,1.25,16029,United Kingdom,540.0
536387,79321,CHILLI LIGHTS,192,2010-12-01 09:58:00,3.82,16029,United Kingdom,733.4399999999999
536389,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2010-12-01 10:03:00,1.25,12431,Australia,15.0
536389,22191,IVORY DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431,Australia,17.0
536389,22193,RED DINER WALL CLOCK,2,2010-12-01 10:03:00,8.5,12431,Australia,17.0
536389,22726,ALARM CLOCK BAKELIKE GREEN,4,2010-12-01 10:03:00,3.75,12431,Australia,15.0
536389,22727,ALARM CLOCK BAKELIKE RED ,4,2010-12-01 10:03:00,3.75,12431,Australia,15.0
536390,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,96,2010-12-01 10:19:00,0.64,17511,United Kingdom,61.44
536390,21485,RETROSPOT HEART HOT WATER BOTTLE,24,2010-12-01 10:19:00,4.25,17511,United Kingdom,102.0
536390,22197,SMALL POPCORN HOLDER,100,2010-12-01 10:19:00,0.72,17511,United Kingdom,72.0
536390,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-01 10:19:00,2.55,17511,United Kingdom,102.0
536390,22960,JAM MAKING SET WITH JARS,12,2010-12-01 10:19:00,3.75,17511,United Kingdom,45.0
536390,22961,JAM MAKING SET PRINTED,12,2010-12-01 10:19:00,1.45,17511,United Kingdom,17.4
536390,22969,HOMEMADE JAM SCENTED CANDLES,96,2010-12-01 10:19:00,1.25,17511,United Kingdom,120.0
536390,84970S,HANGING HEART ZINC T-LIGHT HOLDER,144,2010-12-01 10:19:00,0.64,17511,United Kingdom,92.16
536390,85099B,JUMBO BAG RED RETROSPOT,100,2010-12-01 10:19:00,1.65,17511,United Kingdom,165.0
536390,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,2010-12-01 10:19:00,2.55,17511,United Kingdom,163.2
536394,21485,RETROSPOT HEART HOT WATER BOTTLE,12,2010-12-01 10:39:00,4.95,13408,United Kingdom,59.400000000000006
536394,22558,CLOTHES PEGS RETROSPOT PACK 24 ,48,2010-12-01 10:39:00,1.25,13408,United Kingdom,60.0
536394,22632,HAND WARMER RED RETROSPOT,96,2010-12-01 10:39:00,1.85,13408,United Kingdom,177.60000000000002
536394,22633,HAND WARMER UNION JACK,96,2010-12-01 10:39:00,1.85,13408,United Kingdom,177.60000000000002
536394,22652,TRAVEL SEWING KIT,20,2010-12-01 10:39:00,1.65,13408,United Kingdom,33.0
536394,22865,HAND WARMER OWL DESIGN,96,2010-12-01 10:39:00,1.85,13408,United Kingdom,177.60000000000002
536394,22866,HAND WARMER SCOTTY DOG DESIGN,96,2010-12-01 10:39:00,1.85,13408,United Kingdom,177.60000000000002
536394,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,2010-12-01 10:39:00,2.55,13408,United Kingdom,81.6
536394,85152,HAND OVER THE CHOCOLATE   SIGN ,12,2010-12-01 10:39:00,2.1,13408,United Kingdom,25.200000000000003
536395,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 10:47:00,0.55,13767,United Kingdom,13.200000000000001
536395,21314,SMALL GLASS HEART TRINKET POT,8,2010-12-01 10:47:00,2.1,13767,United Kingdom,16.8
536395,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 10:47:00,0.55,13767,United Kingdom,13.200000000000001
536395,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 10:47:00,3.95,13767,United Kingdom,31.6
536395,22726,ALARM CLOCK BAKELIKE GREEN,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0
536395,22727,ALARM CLOCK BAKELIKE RED ,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0
536395,22729,ALARM CLOCK BAKELIKE ORANGE,8,2010-12-01 10:47:00,3.75,13767,United Kingdom,30.0
536395,22730,ALARM CLOCK BAKELIKE IVORY,4,2010-12-01 10:47:00,3.75,13767,United Kingdom,15.0
536395,22866,HAND WARMER SCOTTY DOG DESIGN,48,2010-12-01 10:47:00,2.1,13767,United Kingdom,100.80000000000001
536395,22867,HAND WARMER BIRD DESIGN,48,2010-12-01 10:47:00,2.1,13767,United Kingdom,100.80000000000001
536395,84879,ASSORTED COLOUR BIRD ORNAMENT,32,2010-12-01 10:47:00,1.69,13767,United Kingdom,54.08
536395,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 10:47:00,0.55,13767,United Kingdom,13.200000000000001
536396,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 10:51:00,2.1,17850,United Kingdom,12.600000000000001
536396,82483,WOOD 2 DRAWER CABINET WHITE FINISH,2,2010-12-01 10:51:00,4.95,17850,United Kingdom,9.9
536396,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 10:51:00,6.95,17850,United Kingdom,27.8
536396,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2010-12-01 10:51:00,2.55,17850,United Kingdom,30.599999999999998
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2010-12-01 10:51:00,2.55,17850,United Kingdom,15.299999999999999
536399,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 10:52:00,1.85,17850,United Kingdom,11.100000000000001
536399,22633,HAND WARMER UNION JACK,6,2010-12-01 10:52:00,1.85,17850,United Kingdom,11.100000000000001
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2010-12-01 11:22:00,2.55,15513,United Kingdom,102.0
536402,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,40,2010-12-01 11:22:00,2.55,15513,United Kingdom,102.0
536406,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2010-12-01 11:33:00,2.1,17850,United Kingdom,12.600000000000001
536406,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-12-01 11:33:00,4.95,17850,United Kingdom,19.8
536406,82486,WOOD S/3 CABINET ANT WHITE FINISH,4,2010-12-01 11:33:00,6.95,17850,United Kingdom,27.8
536406,82494L,WOODEN FRAME ANTIQUE WHITE ,6,2010-12-01 11:33:00,2.55,17850,United Kingdom,15.299999999999999
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,2010-12-01 11:33:00,2.55,17850,United Kingdom,20.4
536407,22632,HAND WARMER RED POLKA DOT,6,2010-12-01 11:34:00,1.85,17850,United Kingdom,11.100000000000001
536407,22633,HAND WARMER UNION JACK,6,2010-12-01 11:34:00,1.85,17850,United Kingdom,11.100000000000001
536412,20725,LUNCH BAG RED RETROSPOT,1,2010-12-01 11:49:00,1.65,17920,United Kingdom,1.65
536412,20727,LUNCH BAG  BLACK SKULL.,3,2010-12-01 11:49:00,1.65,17920,United Kingdom,4.949999999999999
536412,20728,LUNCH BAG CARS BLUE,3,2010-12-01 11:49:00,1.65,17920,United Kingdom,4.949999999999999
536412,20750,RED RETROSPOT MINI CASES,1,2010-12-01 11:49:00,7.95,17920,United Kingdom,7.95
536412,21034,REX CASH+CARRY JUMBO SHOPPER,1,2010-12-01 11:49:00,0.95,17920,United Kingdom,0.95
536412,21731,RED TOADSTOOL LED NIGHT LIGHT,5,2010-12-01 11:49:00,1.65,17920,United Kingdom,8.25
536412,22077,6 RIBBONS RUSTIC CHARM,1,2010-12-01 11:49:00,1.65,17920,United Kingdom,1.65
536412,22077,6 RIBBONS RUSTIC CHARM,2,2010-12-01 11:49:00,1.65,17920,United Kingdom,3.3
536412,22077,6 RIBBONS RUSTIC CHARM,7,2010-12-01 11:49:00,1.65,17920,United Kingdom,11.549999999999999
536412,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,1,2010-12-01 11:49:00,2.95,17920,United Kingdom,2.95
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2010-12-01 11:49:00,2.1,17920,United Kingdom,2.1
536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,1,2010-12-01 11:49:00,2.1,17920,United Kingdom,2.1
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,2,2010-12-01 11:49:00,2.1,17920,United Kingdom,4.2
536412,22144,CHRISTMAS CRAFT LITTLE FRIENDS,1,2010-12-01 11:49:00,2.1,17920,United Kingdom,2.1
536412,22197,SMALL POPCORN HOLDER,5,2010-12-01 11:49:00,0.85,17920,United Kingdom,4.25
536412,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,1,2010-12-01 11:49:00,2.95,17920,United Kingdom,2.95
536412,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,2010-12-01 11:49:00,2.95,17920,United Kingdom,2.95
536412,22382,LUNCH BAG SPACEBOY DESIGN ,3,2010-12-01 11:49:00,1.65,17920,United Kingdom,4.949999999999999
536412,22383,LUNCH BAG SUKI  DESIGN ,3,2010-12-01 11:49:00,1.65,17920,United Kingdom,4.949999999999999
536412,22568,FELTCRAFT CUSHION OWL,3,2010-12-01 11:49:00,3.75,17920,United Kingdom,11.25
536412,22629,SPACEBOY LUNCH BOX ,1,2010-12-01 11:49:00,1.95,17920,United Kingdom,1.95
536412,22630,DOLLY GIRL LUNCH BOX,1,2010-12-01 11:49:00,1.95,17920,United Kingdom,1.95
536412,22652,TRAVEL SEWING KIT,5,2010-12-01 11:49:00,1.65,17920,United Kingdom,8.25
536412,22662,LUNCH BAG DOLLY GIRL DESIGN,4,2010-12-01 11:49:00,1.65,17920,United Kingdom,6.6
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,2,2010-12-01 11:49:00,3.75,17920,United Kingdom,7.5
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-01 11:49:00,3.75,17920,United Kingdom,3.75
536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,1,2010-12-01 11:49:00,3.75,17920,United Kingdom,3.75
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2010-12-01 11:49:00,2.95,17920,United Kingdom,5.9
536412,22900, SET 2 TEA TOWELS I LOVE LONDON ,2,2010-12-01 11:49:00,2.95,17920,United Kingdom,5.9
536412,22961,JAM MAKING SET PRINTED,24,2010-12-01 11:49:00,1.45,17920,United Kingdom,34.8
536412,85049E,SCANDINAVIAN REDS RIBBONS,3,2010-12-01 11:49:00,1.25,17920,United Kingdom,3.75
536412,85049E,SCANDINAVIAN REDS RIBBONS,1,2010-12-01 11:49:00,1.25,17920,United Kingdom,1.25
536412,85049E,SCANDINAVIAN REDS RIBBONS,12,2010-12-01 11:49:00,1.25,17920,United Kingdom,15.0
536425,22961,JAM MAKING SET PRINTED,12,2010-12-01 12:08:00,1.45,13758,United Kingdom,17.4
536425,79321,CHILLI LIGHTS,8,2010-12-01 12:08:00,4.95,13758,United Kingdom,39.6
536437,22189,CREAM HEART CARD HOLDER,72,2010-12-01 12:12:00,3.39,13694,United Kingdom,244.08
536460,21121,SET/10 RED POLKADOT PARTY CANDLES,24,2010-12-01 12:22:00,1.25,14849,United Kingdom,30.0
536460,21485,RETROSPOT HEART HOT WATER BOTTLE,6,2010-12-01 12:22:00,4.95,14849,United Kingdom,29.700000000000003
536460,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 12:22:00,0.55,14849,United Kingdom,13.200000000000001
536460,84879,ASSORTED COLOUR BIRD ORNAMENT,24,2010-12-01 12:22:00,1.69,14849,United Kingdom,40.56
536460,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 12:22:00,0.55,14849,United Kingdom,13.200000000000001
536466,22960,JAM MAKING SET WITH JARS,6,2010-12-01 12:23:00,4.25,14849,United Kingdom,25.5
536466,22961,JAM MAKING SET PRINTED,12,2010-12-01 12:23:00,1.45,14849,United Kingdom,17.4
536477,21314,SMALL GLASS HEART TRINKET POT,48,2010-12-01 12:27:00,1.85,16210,United Kingdom,88.80000000000001
536477,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,10,2010-12-01 12:27:00,1.95,16210,United Kingdom,19.5
536477,22423,REGENCY CAKESTAND 3 TIER,16,2010-12-01 12:27:00,10.95,16210,United Kingdom,175.2
536477,22595,CHRISTMAS GINGHAM HEART,144,2010-12-01 12:27:00,0.72,16210,United Kingdom,103.67999999999999
536477,22619,SET OF 6 SOLDIER SKITTLES,4,2010-12-01 12:27:00,3.75,16210,United Kingdom,15.0
536477,22632,HAND WARMER RED RETROSPOT,12,2010-12-01 12:27:00,2.1,16210,United Kingdom,25.200000000000003
536477,22633,HAND WARMER UNION JACK,12,2010-12-01 12:27:00,2.1,16210,United Kingdom,25.200000000000003
536500,21754,HOME BUILDING BLOCK WORD,6,2010-12-01 12:35:00,5.95,17377,United Kingdom,35.7
536500,21755,LOVE BUILDING BLOCK WORD,6,2010-12-01 12:35:00,5.95,17377,United Kingdom,35.7
536500,22113,GREY HEART HOT WATER BOTTLE,3,2010-12-01 12:35:00,3.75,17377,United Kingdom,11.25
536500,22616,PACK OF 12 LONDON TISSUES ,12,2010-12-01 12:35:00,0.29,17377,United Kingdom,3.4799999999999995
536500,22630,DOLLY GIRL LUNCH BOX,2,2010-12-01 12:35:00,1.95,17377,United Kingdom,3.9
536500,22900, SET 2 TEA TOWELS I LOVE LONDON ,7,2010-12-01 12:35:00,2.95,17377,United Kingdom,20.650000000000002
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,2010-12-01 13:04:00,1.95,12662,Germany,19.5
536527,20713,JUMBO BAG OWLS,10,2010-12-01 13:04:00,1.95,12662,Germany,19.5
536527,22969,HOMEMADE JAM SCENTED CANDLES,12,2010-12-01 13:04:00,1.45,12662,Germany,17.4
536527,POST,POSTAGE,1,2010-12-01 13:04:00,18.0,12662,Germany,18.0
536532,20685,DOORMAT RED RETROSPOT,2,2010-12-01 13:24:00,7.95,12433,Norway,15.9
536532,21080,SET/20 RED RETROSPOT PAPER NAPKINS ,36,2010-12-01 13:24:00,0.85,12433,Norway,30.599999999999998
536532,21166,COOK WITH WINE METAL SIGN ,12,2010-12-01 13:24:00,1.95,12433,Norway,23.4
536532,21212,PACK OF 72 RETROSPOT CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.200000000000001
536532,21213,PACK OF 72 SKULL CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.200000000000001
536532,21733,RED HANGING HEART T-LIGHT HOLDER,6,2010-12-01 13:24:00,2.95,12433,Norway,17.700000000000003
536532,21977,PACK OF 60 PINK PAISLEY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.200000000000001
536532,22114,HOT WATER BOTTLE TEA AND SYMPATHY,8,2010-12-01 13:24:00,3.95,12433,Norway,31.6
536532,22197,SMALL POPCORN HOLDER,72,2010-12-01 13:24:00,0.85,12433,Norway,61.199999999999996
536532,22551,PLASTERS IN TIN SPACEBOY,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994
536532,22553,PLASTERS IN TIN SKULLS,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994
536532,22554,PLASTERS IN TIN WOODLAND ANIMALS,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994
536532,22555,PLASTERS IN TIN STRONGMAN,36,2010-12-01 13:24:00,1.65,12433,Norway,59.4
536532,22556,PLASTERS IN TIN CIRCUS PARADE ,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994
536532,22557,PLASTERS IN TIN VINTAGE PAISLEY ,36,2010-12-01 13:24:00,1.65,12433,Norway,59.4
536532,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,2010-12-01 13:24:00,1.49,12433,Norway,35.76
536532,22561,WOODEN SCHOOL COLOURING SET,24,2010-12-01 13:24:00,1.65,12433,Norway,39.599999999999994
536532,22632,HAND WARMER RED RETROSPOT,12,2010-12-01 13:24:00,2.1,12433,Norway,25.200000000000003
536532,22666,RECIPE BOX PANTRY YELLOW DESIGN,12,2010-12-01 13:24:00,2.95,12433,Norway,35.400000000000006
536532,22667,RECIPE BOX RETROSPOT ,12,2010-12-01 13:24:00,2.95,12433,Norway,35.400000000000006
536532,22865,HAND WARMER OWL DESIGN,12,2010-12-01 13:24:00,2.1,12433,Norway,25.200000000000003
536532,22866,HAND WARMER SCOTTY DOG DESIGN,12,2010-12-01 13:24:00,2.1,12433,Norway,25.200000000000003
536532,22961,JAM MAKING SET PRINTED,24,2010-12-01 13:24:00,1.45,12433,Norway,34.8
536532,22966,GINGERBREAD MAN COOKIE CUTTER,24,2010-12-01 13:24:00,1.25,12433,Norway,30.0
536532,82600,NO SINGING METAL SIGN,24,2010-12-01 13:24:00,2.1,12433,Norway,50.400000000000006
536532,84375,SET OF 20 KIDS COOKIE CUTTERS,24,2010-12-01 13:24:00,2.1,12433,Norway,50.400000000000006
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,2010-12-01 13:24:00,0.42,12433,Norway,21.0
536532,84991,60 TEATIME FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.200000000000001
536532,84992,72 SWEETHEART FAIRY CAKE CASES,24,2010-12-01 13:24:00,0.55,12433,Norway,13.200000000000001
536532,85150,LADIES & GENTLEMEN METAL SIGN,12,2010-12-01 13:24:00,2.55,12433,Norway,30.599999999999998
536532,85152,HAND OVER THE CHOCOLATE   SIGN ,24,2010-12-01 13:24:00,2.1,12433,Norway,50.400000000000006
536536,21485,RETROSPOT HEART HOT WATER BOTTLE,3,2010-12-01 13:45:00,4.95,18144,United Kingdom,14.850000000000001
536536,84879,ASSORTED COLOUR BIRD ORNAMENT,80,2010-12-01 13:45:00,1.69,18144,United Kingdom,135.2
536540,21889,WOODEN BOX OF DOMINOES,24,2010-12-01 14:05:00,1.25,14911,EIRE,30.0
536540,21891,TRADITIONAL WOODEN SKIPPING ROPE,12,2010-12-01 14:05:00,1.25,14911,EIRE,15.0
536540,22147,FELTCRAFT BUTTERFLY HEARTS,12,2010-12-01 14:05:00,1.45,14911,EIRE,17.4
536540,22150,3 STRIPEY MICE FELTCRAFT,12,2010-12-01 14:05:00,1.95,14911,EIRE,23.4
536540,22355,CHARLOTTE BAG SUKI DESIGN,50,2010-12-01 14:05:00,0.85,14911,EIRE,42.5
536541,21915,RED  HARMONICA IN BOX ,12,2010-12-01 14:05:00,1.25,14911,EIRE,15.0
536551,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,3,2010-12-01 14:34:00,2.95,17346,United Kingdom,8.850000000000001
536551,22111,SCOTTIE DOG HOT WATER BOTTLE,1,2010-12-01 14:34:00,4.95,17346,United Kingdom,4.95
536551,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-01 14:34:00,4.95,17346,United Kingdom,4.95
536551,22112,CHOCOLATE HOT WATER BOTTLE,1,2010-12-01 14:34:00,4.95,17346,United Kingdom,4.95
536551,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-01 14:34:00,1.65,17346,United Kingdom,1.65
536551,22551,PLASTERS IN TIN SPACEBOY,1,2010-12-01 14:34:00,1.65,17346,United Kingdom,1.65
536551,22555,PLASTERS IN TIN STRONGMAN,1,2010-12-01 14:34:00,1.65,17346,United Kingdom,1.65
536551,22557,PLASTERS IN TIN VINTAGE PAISLEY ,1,2010-12-01 14:34:00,1.65,17346,United Kingdom,1.65
536551,22625,RED KITCHEN SCALES,1,2010-12-01 14:34:00,8.5,17346,United Kingdom,8.5
536551,22629,SPACEBOY LUNCH BOX ,1,2010-12-01 14:34:00,1.95,17346,United Kingdom,1.95
536551,22659,LUNCH BOX I LOVE LONDON,1,2010-12-01 14:34:00,1.95,17346,United Kingdom,1.95
536551,22835,HOT WATER BOTTLE I AM SO POORLY,2,2010-12-01 14:34:00,4.65,17346,United Kingdom,9.3
536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2010-12-01 14:34:00,2.95,17346,United Kingdom,2.95
536551,22900, SET 2 TEA TOWELS I LOVE LONDON ,1,2010-12-01 14:34:00,2.95,17346,United Kingdom,2.95
536551,84970S,HANGING HEART ZINC T-LIGHT HOLDER,2,2010-12-01 14:34:00,0.85,17346,United Kingdom,1.7
536557,20749,ASSORTED COLOUR MINI CASES,1,2010-12-01 14:41:00,7.95,17841,United Kingdom,7.95
